date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:39	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:38%20GMT	https://www.zoomcar.com/bangalore	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/bangalore	(from https://www.zoomcar.com/)
17:04:40	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:39%20GMT	https://www.zoomcar.com/pune	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/pune	(from https://www.zoomcar.com/)
17:04:40	51995/51995	---M-Z	200	added ('OK')	text/html	etag:%22726e32e8b2c5ebdfc4aa53a9cbd040bd%22	https://www.zoomcar.com/bangalore/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/bangalore/index.html	(from https://www.zoomcar.com/)
17:04:40	51429/51429	---M-Z	200	added ('OK')	text/html	etag:%222aba12e5ca72b536f1adffee88742713%22	https://www.zoomcar.com/pune/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/pune/index.html	(from https://www.zoomcar.com/)
17:04:40	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:39%20GMT	https://www.zoomcar.com/delhi	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/delhi.32.delayed	(from https://www.zoomcar.com/)
17:04:40	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:39%20GMT	https://www.zoomcar.com/mumbai	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/mumbai	(from https://www.zoomcar.com/)
17:04:41	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:40%20GMT	https://www.zoomcar.com/chennai	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/chennai	(from https://www.zoomcar.com/)
17:04:41	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:40%20GMT	https://www.zoomcar.com/hyderabad	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/hyderabad	(from https://www.zoomcar.com/)
17:04:41	51637/51637	---M-Z	200	added ('OK')	text/html	etag:%22dcc06dc87f21963637043965c4e43455%22	https://www.zoomcar.com/delhi/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/delhi/index.html	(from https://www.zoomcar.com/)
17:04:41	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:40%20GMT	https://www.zoomcar.com/chandigarh	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/chandigarh	(from https://www.zoomcar.com/)
17:04:41	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:40%20GMT	https://www.zoomcar.com/kolkata	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/kolkata	(from https://www.zoomcar.com/)
17:04:42	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:40%20GMT	https://www.zoomcar.com/ahmedabad	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/ahmedabad	(from https://www.zoomcar.com/)
17:04:42	51958/51958	---M-Z	200	added ('OK')	text/html	etag:%2249dc4f1b248c5d0dfd076ccce15a7e78%22	https://www.zoomcar.com/mumbai/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/mumbai/index.html	(from https://www.zoomcar.com/)
17:04:42	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:41%20GMT	https://www.zoomcar.com/coimbatore	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/coimbatore	(from https://www.zoomcar.com/)
17:04:42	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:41%20GMT	https://www.zoomcar.com/indore	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/indore	(from https://www.zoomcar.com/)
17:04:42	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:41%20GMT	https://www.zoomcar.com/jaipur	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/jaipur	(from https://www.zoomcar.com/)
